タイプ,管理記号,管理番号,SKUグループ,カラー,SKU,プリント,パーツ名,使用数,用尺（m）,備考
個別,FA,069,KM,GCHE グレンチェック,KM_GCHE,P,GCHE_56*24,1,,
個別,FA,070,KM,HAT ハット,KM_HAT,P,HAT_56*24,1,,
個別,FA,071,KM,DOT ドット,KM_DOT,P,DOT_56*24,1,,
個別,FA,072,KM,FLW フラワー白,KM_FLW,P,FL_W_56*24,1,,
個別,FA,073,KM,FLB フラワー黒,KM_FLB,P,FL_B_56*24,1,,
個別,FA,074,KM,CAT ネコ,KM_CAT,P,CAT_56*24,1,,
個別,FA,075,KM,LURE ルアー,KM_LURE,P,LURE_56*24,1,,
個別,FA,076,KM,KABUTO_W,KM_KABUTO_W,P,KABUTO_W_56*24,1,,
個別,FA,077,KM,KABUTO_B,KM_KABUTO_B,P,KABUTO_B_56*24,1,,
個別,FA,078,KM,REX_BE 恐竜ベージュ,KM_REX_BE,P,REX_BE_56*24,1,,
個別,FA,079,KM,REX_BK 恐竜黒,KM_REX_BK,P,REX_BK_56*24,1,,
個別,FA,080,KM,REX_MN 恐竜モノクロ,KM_REX_MN,P,REX_MN_56*24,1,,
個別,FA,081,HA,GY グレー,HA_GY,P,80200_55*18.5_GY,1,0.11,
個別,FA,082,HA,BE ベージュ,HA_BE,P,80200_55*18.5_BE,1,0.11,
個別,FA,083,HA,BK ブラック,HA_BK,P,80200_55*18.5_BK,1,0.11,
個別,FA,084,HA,WH ホワイト,HA_WH,P,80200_55*18.5_WH,1,0.11,
個別,FA,085,CUP,GY グレー,CUP_GY,P,80200_45*19.5_GY,1,0.09,
個別,FA,086,CUP,BE ベージュ,CUP_BE,P,80200_45*19.5_BE,1,0.09,
個別,FA,087,CUP,BK ブラック,CUP_BK,P,80200_45*19.5_BK,1,0.09,
個別,FA,088,CUP,WH ホワイト,CUP_WH,P,80200_45*19.5_WH,1,0.09,
個別,FA,089,CUP,BST ボーイストライプ,CUP_BST,P,BST_45*19.5,1,,
個別,FA,090,CUP,RST レッドストライプ,CUP_RST,P,RST_45*19.5,1,,
個別,FA,091,CUP,DOT ドット,CUP_DOT,P,DOT_45*19.5,1,,
個別,FA,092,CUP,FLW フラワー白,CUP_FLW,P,FL_W_45*19.5,1,,
個別,FA,093,CUP,FLB フラワー黒,CUP_FLB,P,FL_B_45*19.5,1,,
